Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NC_016861	NA	NC_016861.1	26269	26916	-	spvD	SPI-2 type III secretion system effector cysteine hydrolase SpvD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	216	216	100.00	100.00	216	AAG59626.1	SPI-2 type III secretion system effector cysteine hydrolase SpvD	NA	NA
NC_016861	NA	NC_016861.1	28187	29959	-	spvB	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	591	591	100.00	100.00	591	AAL23530.1	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	NA	NA
NC_016861	NA	NC_016861.1	40766	41623	-	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.00	100.00	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId	NA	NA
NC_016861	NA	NC_016861.1	44431	45267	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NC_016861	NA	NC_016861.1	45264	45608	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
NC_016861	NA	NC_016861.1	45775	46563	-	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NA	NA
NC_016861	NA	NC_016861.1	46974	47468	-	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12	NA	NA
NC_016861	NA	NC_016861.1	72712	73179	-	mltE	transglycosylase SLT domain-containing protein MltE	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	156	156	100.00	100.00	156	AAL23542.1	transglycosylase SLT domain-containing protein MltE	NA	NA
NC_016861	NA	NC_016861.1	95795	96523	+	traT	conjugal transfer complement resistance protein TraT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	243	243	100.00	100.00	243	AAL23506.1	conjugal transfer complement resistance protein TraT	NA	NA
NC_016862	NA	NC_016862.1	2418	3230	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
NC_016862	NA	NC_016862.1	3294	4094	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
NC_016862	NA	NC_016862.1	4097	4930	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
NC_017339	NA	NC_017339.1	2286	2900	+	cadD	cadmium resistance transporter CadD	plus	STRESS	METAL	CADMIUM	CADMIUM	BLASTX	205	205	100.00	99.51	205	BAB43874.1	cadmium resistance transporter CadD	NA	NA
NC_017339	NA	NC_017339.1	7919	8296	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
NC_017339	NA	NC_017339.1	8289	10043	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.00	95.56	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
NC_017339	NA	NC_017339.1	10150	10992	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	281	281	100.00	100.00	281	WP_000733289.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
NC_018654	NA	NC_018654.1	6279	7034	+	aggD	aggregative adherence fimbria I chaperone AggD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	252	252	100.00	99.21	252	AAA57451.1	aggregative adherence fimbria I chaperone AggD	NA	NA
NC_018654	NA	NC_018654.1	7051	9576	+	aggC	aggregative adherence fimbria I usher protein AggC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	842	842	100.00	99.64	842	AAA57452.1	aggregative adherence fimbria I usher protein AggC	NA	NA
NC_018654	NA	NC_018654.1	9593	10027	+	aggB	aggregative adherence fimbria I minor subunit AggB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	145	145	100.00	100.00	145	EHF16297.1	aggregative adherence fimbria I minor subunit AggB	NA	NA
NC_018654	NA	NC_018654.1	10132	10632	+	aggA	aggregative adherence fimbria I major subunit AggA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	167	167	100.00	100.00	167	EHF16298.1	aggregative adherence fimbria I major subunit AggA	NA	NA
NC_018654	NA	NC_018654.1	20997	21791	-	aggR	aggregative adherence transcriptional regulator AggR	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	265	265	100.00	100.00	265	CAA83535.1	aggregative adherence transcriptional regulator AggR	NA	NA
NC_018654	NA	NC_018654.1	26222	26569	-	aap	dispersin Aap	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	116	116	100.00	96.55	116	CBG27807.1	dispersin Aap	NA	NA
NC_018654	NA	NC_018654.1	28499	28696	+	aar	AggR-activated transcriptional regulator Aar	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	66	66	100.00	100.00	66	ASK37426.1	AggR-activated transcriptional regulator Aar	NA	NA
NC_018654	NA	NC_018654.1	34121	35356	+	aatA	dispersin export ABC transporter outer membrane protein AatA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	412	412	100.00	100.00	412	EHF16244.1	dispersin export ABC transporter outer membrane protein AatA	NA	NA
NC_018654	NA	NC_018654.1	43121	47212	-	sepA	serine protease autotransporter toxin SepA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	1364	1364	100.00	100.00	1364	AFS59871.1	serine protease autotransporter toxin SepA	NA	NA
NC_018659	NA	NC_018659.1	45171	46043	-	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_000239590.1	extended-spectrum class A beta-lactamase CTX-M-15	NA	NA
NC_018659	NA	NC_018659.1	48865	49722	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
NC_018662	NA	NC_018662.1	28518	32006	+	sepA	serine protease autotransporter toxin SepA	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	1163	1364	85.26	100.00	1163	AFS59871.1	serine protease autotransporter toxin SepA	NA	NA
NC_018662	NA	NC_018662.1	39771	41006	-	aatA	dispersin export ABC transporter outer membrane protein AatA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	412	412	100.00	100.00	412	EHF16244.1	dispersin export ABC transporter outer membrane protein AatA	NA	NA
NC_018662	NA	NC_018662.1	46430	46627	-	aar	AggR-activated transcriptional regulator Aar	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	66	66	100.00	100.00	66	ASK37426.1	AggR-activated transcriptional regulator Aar	NA	NA
NC_018662	NA	NC_018662.1	48557	48904	+	aap	dispersin Aap	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	116	116	100.00	96.55	116	CBG27807.1	dispersin Aap	NA	NA
NC_018662	NA	NC_018662.1	54677	55471	+	aggR	aggregative adherence transcriptional regulator AggR	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	265	265	100.00	100.00	265	CAA83535.1	aggregative adherence transcriptional regulator AggR	NA	NA
NC_018662	NA	NC_018662.1	65835	66335	-	aggA	aggregative adherence fimbria I major subunit AggA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	167	167	100.00	100.00	167	EHF16298.1	aggregative adherence fimbria I major subunit AggA	NA	NA
NC_018662	NA	NC_018662.1	66440	66874	-	aggB	aggregative adherence fimbria I minor subunit AggB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	145	145	100.00	99.31	145	EHF16297.1	aggregative adherence fimbria I minor subunit AggB	NA	NA
NC_018662	NA	NC_018662.1	66891	69416	-	aggC	aggregative adherence fimbria I usher protein AggC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	842	842	100.00	99.64	842	AAA57452.1	aggregative adherence fimbria I usher protein AggC	NA	NA
NC_018662	NA	NC_018662.1	69433	70188	-	aggD	aggregative adherence fimbria I chaperone AggD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	252	252	100.00	99.21	252	AAA57451.1	aggregative adherence fimbria I chaperone AggD	NA	NA
NC_018666	NA	NC_018666.1	3	167	-	aar	AggR-activated transcriptional regulator Aar	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	55	67	82.09	100.00	55	CBG27812.1	AggR-activated transcriptional regulator Aar	NA	NA
NC_018666	NA	NC_018666.1	2094	2441	+	aap	dispersin Aap	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	116	116	100.00	96.55	116	CBG27807.1	dispersin Aap	NA	NA
NC_018666	NA	NC_018666.1	6865	7659	+	aggR	aggregative adherence transcriptional regulator AggR	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	265	265	100.00	100.00	265	CAA83535.1	aggregative adherence transcriptional regulator AggR	NA	NA
NC_018666	NA	NC_018666.1	18024	18524	-	aggA	aggregative adherence fimbria I major subunit AggA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	167	167	100.00	100.00	167	EHF16298.1	aggregative adherence fimbria I major subunit AggA	NA	NA
NC_018666	NA	NC_018666.1	18629	19063	-	aggB	aggregative adherence fimbria I minor subunit AggB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	145	145	100.00	100.00	145	EHF16297.1	aggregative adherence fimbria I minor subunit AggB	NA	NA
NC_018666	NA	NC_018666.1	19080	21605	-	aggC	aggregative adherence fimbria I usher protein AggC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	842	842	100.00	99.64	842	AAA57452.1	aggregative adherence fimbria I usher protein AggC	NA	NA
NC_018666	NA	NC_018666.1	21622	22377	-	aggD	aggregative adherence fimbria I chaperone AggD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	252	252	100.00	99.21	252	AAA57451.1	aggregative adherence fimbria I chaperone AggD	NA	NA
NC_018666	NA	NC_018666.1	55669	59760	+	sepA	serine protease autotransporter toxin SepA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	1364	1364	100.00	100.00	1364	AFS59871.1	serine protease autotransporter toxin SepA	NA	NA
NC_018666	NA	NC_018666.1	67524	68759	-	aatA	dispersin export ABC transporter outer membrane protein AatA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	412	412	100.00	100.00	412	EHF16244.1	dispersin export ABC transporter outer membrane protein AatA	NA	NA
NC_021811	NA	NC_021811.1	68829	69686	+	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.00	100.00	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId	NA	NA
NC_021811	NA	NC_021811.1	74661	75518	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
NC_021811	NA	NC_021811.1	81211	81999	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001682441.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
NC_021811	NA	NC_021811.1	88001	89197	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
NC_021813	NA	NC_021813.2	82534	83322	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
NC_021813	NA	NC_021813.2	83492	84388	+	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	BLASTX	299	299	100.00	99.67	299	WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	NA	NA
NC_021813	NA	NC_021813.2	90050	90394	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
NC_021813	NA	NC_021813.2	90391	91227	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NC_022354	NA	NC_022354.1	4988	5779	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
NC_022354	NA	NC_022354.1	8511	10427	-	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002779752.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
NC_022610	NA	NC_022610.1	5012	5362	+	cadD	cadmium resistance transporter CadD	plus	STRESS	METAL	CADMIUM	CADMIUM	PARTIALX	117	205	57.07	100.00	117	BAB43874.1	cadmium resistance transporter CadD	NA	NA
NC_022610	NA	NC_022610.1	13293	13940	-	merB	organomercurial lyase MerB	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	216	216	100.00	100.00	216	BAB47641.1	organomercurial lyase MerB	NA	NA
NC_022610	NA	NC_022610.1	14025	15665	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	547	547	100.00	100.00	547	AAA98245.1	mercury(II) reductase	NA	NA
NC_022610	NA	NC_022610.1	15726	16109	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	128	128	100.00	100.00	128	ADA79992.1	mercuric transport protein MerT	NA	NA
NC_022610	NA	NC_022610.1	21970	22335	-	cadC	Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC	plus	STRESS	METAL	CADMIUM/LEAD/ZINC	CADMIUM/LEAD/ZINC	EXACTX	122	122	100.00	100.00	122	AAB59153.1	Cd(II)/Pb(II)/Zn(II)-sensing metalloregulatory transcriptional repressor CadC	NA	NA
NC_022610	NA	NC_022610.1	24929	25492	-	qacR	multidrug-binding transcriptional regulator QacR	plus	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	188	188	100.00	100.00	188	ADK23698.1	multidrug-binding transcriptional regulator QacR	NA	NA
NC_022610	NA	NC_022610.1	25670	27211	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.81	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	2061	2615	-	rcK	complement resistance protein Rck	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	185	185	100.00	100.00	185	AAC36968.1	complement resistance protein Rck	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	25896	26708	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018330.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	30543	31739	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	33775	34125	-	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	PARTIALX	117	144	81.25	91.45	117	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	36842	37678	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	37675	37926	-	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIALX	84	115	73.04	100.00	84	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	38185	38973	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	48573	49430	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	62140	62787	-	spvD	SPI-2 type III secretion system effector cysteine hydrolase SpvD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	216	216	100.00	100.00	216	AAG59626.1	SPI-2 type III secretion system effector cysteine hydrolase SpvD	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	64057	65829	-	spvB	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	591	591	100.00	100.00	591	AAL23530.1	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	95952	96419	-	mltE	transglycosylase SLT domain-containing protein MltE	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	156	156	100.00	100.00	156	AAL23542.1	transglycosylase SLT domain-containing protein MltE	NA	NA
NZ_AP014566	NA	NZ_AP014566.1	119035	119763	+	traT	conjugal transfer complement resistance protein TraT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	243	243	100.00	100.00	243	AAL23506.1	conjugal transfer complement resistance protein TraT	NA	NA
NZ_AP014681	NA	NZ_AP014681.1	7109	9220	+	clpL	ATP-dependent protease ClpL	plus	STRESS	HEAT	NA	NA	BLASTX	704	704	100.00	97.02	704	ADB69780.1	ATP-dependent protease ClpL	NA	NA
NZ_AP014865	NA	NZ_AP014865.1	18001	18510	-	blaIII	class A beta-lactamase BlaIII	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALX	170	316	53.80	100.00	170	WP_000497840.1	class A beta-lactamase BlaIII	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	16699	16989	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	97	97	100.00	100.00	97	ADR26561.1	increased serum survival lipoprotein Iss	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	20140	21252	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	99.73	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	21395	25051	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1219	1219	100.00	99.34	1219	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	25158	26384	+	iroD	catecholate siderophore esterase IroD	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	409	409	100.00	100.00	409	ACJ63529.1	catecholate siderophore esterase IroD	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	26472	27425	+	iroE	catecholate siderophore esterase IroE	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	318	318	100.00	100.00	318	ACJ63530.1	catecholate siderophore esterase IroE	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	27476	29650	-	iroN	siderophore salmochelin receptor IroN	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	725	725	100.00	100.00	725	AAN76093.1	siderophore salmochelin receptor IroN	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	35154	37358	-	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	735	736	100.00	98.51	736	BAA31832.1	catalase/peroxidase KatP	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	151241	153427	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	731	99.73	89.71	729	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	153524	154798	-	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	154798	156537	-	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	580	580	100.00	97.59	580	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
NZ_AP017611	NA	NZ_AP017611.1	156540	157484	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	315	315	100.00	95.87	315	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
