Biosample,Contig,Genus,Species,Predicted_mobility,Size,Relaxase,PCN,Percentage_DNA_load,Total_DNA_load,Replicon_type,Replicon_form,Chromosome_size,GC,Plasmids_per_cell,Topology,Predicted_PTU
GCA_001704615,NZ_CP029396.2,Acinetobacter,Acinetobacter defluvii,mobilizable,355358,Multiple MOB,1.02942217909425,10.9070078003589,365813.406718576,-,Single replicons,3353930,39.5088896267989,8,circular,-
GCA_002165245,NZ_CP028799.2,Acinetobacter,Acinetobacter junii,mobilizable,6074,MOBQ,23.3364566656092,4.22808050235348,141745.63778691,-,Single replicons,3352482,35.1992097464603,2,circular,-
GCA_002165245,NZ_CP028798.2,Acinetobacter,Acinetobacter junii,non-mobilizable,33869,No MOB,5.39536690488077,5.45075802648327,182735.681701407,-,Single replicons,3352482,41.6103221234757,2,circular,-
GCA_002165255,NZ_CP028557.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,7282,No MOB,10.3711392203553,2.62524526702831,75522.6358026276,rep_cluster_1233,Single replicons,2876784,33.0129085416094,5,circular,-
GCA_002165255,NZ_CP028560.1,Acinetobacter,Acinetobacter sp.,mobilizable,190170,Multiple MOB,1.76488877022289,11.6668090977038,335628.897433287,"rep_cluster_1218,rep_cluster_639",Multiple replicons,2876784,41.8846295419888,5,circular,-
GCA_002165255,NZ_CP028558.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,6132,No MOB,11.0667666973558,2.35893321807218,67861.4133881855,rep_cluster_1172,Single replicons,2876784,37.1983039791259,5,circular,-
GCA_002165255,NZ_CP028559.1,Acinetobacter,Acinetobacter sp.,mobilizable,4344,MOBP,18.9470371759371,2.8610396015923,82305.929492271,-,Single replicons,2876784,37.7992633517495,5,circular,PTU-Pse11
GCA_002165255,NZ_CP028556.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,7547,No MOB,13.747401103428,3.60651464022224,103751.636127571,-,Single replicons,2876784,32.8739896647675,5,circular,-
GCA_002165295,NZ_CP032139.1,Acinetobacter,Acinetobacter sp.,mobilizable,7654,MOBQ,6.1553376781583,1.32435440966405,47112.9545886236,rep_cluster_1171,Single replicons,3557428,36.0726417559446,5,circular,-
GCA_002165295,NZ_CP032138.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,16399,No MOB,3.00244774341216,1.38406569420986,49237.140544216,rep_cluster_1041,Single replicons,3557428,40.593938654796,5,circular,-
GCA_002165295,NZ_CP032141.1,Acinetobacter,Acinetobacter sp.,mobilizable,4700,MOBP,7.54070469707272,0.996262245539243,35441.3120762418,-,Single replicons,3557428,39.2553191489362,5,circular,-
GCA_002165295,NZ_CP032140.1,Acinetobacter,Acinetobacter sp.,mobilizable,5025,MOBQ,9.84323934985019,1.39039434481871,49462.2777329972,-,Single replicons,3557428,37.2935323383085,5,circular,-
GCA_002165295,NZ_CP032142.1,Acinetobacter,Acinetobacter sp.,conjugative,39365,MOBQ,1.62259484818094,1.79549512171835,63873.4461986427,-,Single replicons,3557428,37.2564460815445,5,circular,PTU-Pse8
GCA_002165305,NZ_CP032282.1,Acinetobacter,Acinetobacter sp.,mobilizable,14838,Multiple MOB,9.95805829815966,4.32628823817485,147757.669028093,rep_cluster_1265,Single replicons,3415345,36.8917643887316,6,circular,-
GCA_002165305,NZ_CP032283.1,Acinetobacter,Acinetobacter sp.,mobilizable,5624,MOBQ,11.9559877920097,1.96877549243964,67240.4753422626,rep_cluster_1260,Single replicons,3415345,36.0419630156472,6,circular,-
GCA_002165305,NZ_CP032281.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,16361,No MOB,5.25102714813832,2.51547223401123,85912.055170691,rep_cluster_1233,Single replicons,3415345,37.1982152680154,6,circular,-
GCA_002165305,NZ_CP032284.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,71326,No MOB,1.00345896383287,2.09562179089794,71572.7140543434,rep_cluster_1072,Single replicons,3415345,39.8942881978521,6,circular,-
GCA_002165305,NZ_CP032280.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,71539,No MOB,1.90345493958416,3.98704268303528,136171.262922911,-,Single replicons,3415345,42.4439816044395,6,circular,-
GCA_002165305,NZ_CP032285.1,Acinetobacter,Acinetobacter sp.,mobilizable,372328,MOBP,1.43253462540505,15.6169509085557,533372.752007813,-,Single replicons,3415345,39.2804194151393,6,circular,-
GCA_002165345,NZ_CP033132.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,8773,MOBQ,4.00197356606985,0.865596112880543,35109.3140951308,rep_cluster_1364,Single replicons,4056085,34.7543599680839,15,circular,PTU-?
GCA_002165345,NZ_CP033126.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,12655,No MOB,6.84934720224149,2.13699882631567,86678.4888443661,rep_cluster_1261,Single replicons,4056085,35.9699723429475,15,circular,-
GCA_002165345,NZ_CP033127.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,7351,MOBQ,4.45480271783253,0.807361156849201,32747.2547787869,rep_cluster_1171,Single replicons,4056085,36.2535709427289,15,circular,-
GCA_002165345,NZ_CP033122.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,28438,Multiple MOB,14.201983619999,9.95728664920806,403876.010185531,"rep_cluster_1071,rep_cluster_1265,rep_cluster_1280",Multiple replicons,4056085,36.5848512553625,15,circular,PTU-?
GCA_002165345,NZ_CP033121.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,2121,No MOB,6.96367342632574,0.364143042792173,14769.9513372369,-,Single replicons,4056085,39.6039603960396,15,circular,-
GCA_002165345,NZ_CP033120.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,3984,No MOB,14.0093212972914,1.37603467502305,55813.1360484088,-,Single replicons,4056085,36.144578313253,15,circular,-
GCA_002165345,NZ_CP033118.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,4283,MOBQ,4.70755978273955,0.497092110975818,20162.4785494735,-,Single replicons,4056085,37.8939995330376,15,circular,-
GCA_002165345,NZ_CP033129.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,4890,MOBQ,11.9023495131748,1.43494253989807,58202.4891194247,-,Single replicons,4056085,36.278118609407,15,circular,-
GCA_002165345,NZ_CP033128.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,5594,MOBP,4.31064600813982,0.594508097575227,24113.7537695342,-,Single replicons,4056085,39.6675008938148,15,circular,PTU-Pse11
GCA_002165345,NZ_CP033125.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,12698,No MOB,3.8483838538677,1.20477697524613,48866.7781764121,-,Single replicons,4056085,36.1946763269806,15,circular,-
GCA_002165345,NZ_CP033124.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,15012,No MOB,5.46211038037855,2.02158487877455,81997.2010302428,-,Single replicons,4056085,34.392486011191,15,circular,-
GCA_002165345,NZ_CP033123.1,Acinetobacter,Acinetobacter wuhouensis,non-mobilizable,16135,No MOB,4.13328789766093,1.64421111068331,66690.600228759,-,Single replicons,4056085,36.3743414936473,15,circular,-
GCA_002165345,NZ_CP033119.1,Acinetobacter,Acinetobacter wuhouensis,conjugative,50181,Multiple MOB,3.35141294464513,4.14629508442838,168177.252975237,-,Single replicons,4056085,36.8227018194137,15,circular,PTU-Pse8
GCA_002165345,NZ_CP033131.1,Acinetobacter,Acinetobacter wuhouensis,mobilizable,59191,MOBP,1.58253278692894,2.30941161714093,93671.6981911107,-,Single replicons,4056085,42.2800763629606,15,circular,-
GCA_002165375,NZ_CP032127.1,Acinetobacter,Acinetobacter chinensis,non-mobilizable,18155,No MOB,2.6450789925656,1.33369278224615,48021.4091100285,rep_cluster_1364,Single replicons,3600635,35.940512255577,7,circular,-
GCA_002165375,NZ_CP032131.1,Acinetobacter,Acinetobacter chinensis,non-mobilizable,1243,No MOB,6.13049899346219,0.211635176819464,7620.21024887351,-,Single replicons,3600635,39.4207562349155,7,circular,-
GCA_002165375,NZ_CP032130.1,Acinetobacter,Acinetobacter chinensis,non-mobilizable,1398,No MOB,15.5366240616877,0.60323249755222,21720.2004382394,-,Single replicons,3600635,40.2002861230329,7,circular,-
GCA_002165375,NZ_CP032129.1,Acinetobacter,Acinetobacter chinensis,mobilizable,4353,MOBQ,3.36149473092457,0.40638905536703,14632.5865637146,-,Single replicons,3600635,37.3994946014243,7,circular,PTU-Pse2
GCA_002165375,NZ_CP032128.1,Acinetobacter,Acinetobacter chinensis,mobilizable,5433,MOBQ,2.24478094217473,0.338715111607683,12195.8948588353,-,Single replicons,3600635,39.5545739002393,7,circular,-
GCA_002165375,NZ_CP032132.1,Acinetobacter,Acinetobacter chinensis,non-mobilizable,39357,No MOB,1.52727163404459,1.66939525114578,60108.8297010929,-,Single replicons,3600635,42.2567777015525,7,circular,PTU-Pse8
GCA_002902805,NZ_CP026088.1,Acinetobacter,Acinetobacter pittii,non-mobilizable,9203,No MOB,2.03931585226383,0.46452686742851,18767.823788384,rep_cluster_1254,Single replicons,4040202,34.3257633380419,3,circular,PTU-Pse6
GCA_002902885,NZ_CP026128.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,110754,No MOB,1.10509406109064,3.23161966601764,122393.587642032,rep_cluster_718,Single replicons,3787376,41.6662152157033,4,circular,PTU-Pse10
GCA_002902885,NZ_CP026129.1,Acinetobacter,Acinetobacter baumannii,mobilizable,130044,MOBP,1.03235611698102,3.54471588975268,134251.718876679,rep_cluster_1656,Single replicons,3787376,38.5700224539387,4,circular,-
GCA_002902885,NZ_CP026126.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,11305,No MOB,1.25775630877729,0.375429718906369,14218.9350707273,rep_cluster_1226,Single replicons,3787376,33.4188412206988,4,circular,-
GCA_002902885,NZ_CP026127.1,Acinetobacter,Acinetobacter baumannii,conjugative,39359,MOBQ,1.9599124101947,2.0367714362887,77140.1925528534,-,Single replicons,3787376,37.0766533702584,4,circular,PTU-Pse8
GCA_002934695,NZ_CP026421.1,Acinetobacter,Acinetobacter sp.,mobilizable,11503,MOBQ,1.52159528533961,0.529228370246515,17502.9105672616,rep_cluster_1280,Single replicons,3307251,43.9798313483439,7,circular,-
GCA_002934695,NZ_CP026422.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,13080,No MOB,1.11282562283732,0.440116554404612,14555.7591467121,rep_cluster_1261,Single replicons,3307251,39.0519877675841,7,circular,-
GCA_002934695,NZ_CP026424.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,18295,No MOB,1.47408956092362,0.815434586522091,26968.4685170977,rep_cluster_1041,Single replicons,3307251,36.1738179830555,7,circular,-
GCA_002934965,NZ_CP026419.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,41447,No MOB,2.18612846690728,2.38753398342073,90608.466567906,rep_cluster_2281,Single replicons,3795065,41.3130021473207,7,circular,-
GCA_002934965,NZ_CP026417.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,12933,No MOB,6.38928772833816,2.17737135439307,82632.6581905974,rep_cluster_1283,Single replicons,3795065,36.4957859738653,7,circular,-
GCA_002934965,NZ_CP026415.1,Acinetobacter,Acinetobacter sp.,mobilizable,118501,Multiple MOB,1.6542694929126,5.1654606490175,196032.589179636,rep_cluster_1218,Single replicons,3795065,40.8806676736905,7,circular,-
GCA_002934965,NZ_CP026413.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,11959,No MOB,4.11216897252287,1.29582573005735,49177.4287424009,rep_cluster_1175,Single replicons,3795065,35.9812693369011,7,circular,-
GCA_002934965,NZ_CP026414.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,17598,No MOB,4.50832629341554,2.09054459176659,79337.5261115266,-,Single replicons,3795065,36.5950676213206,7,circular,-
GCA_002934965,NZ_CP026418.1,Acinetobacter,Acinetobacter sp.,non-mobilizable,43928,No MOB,13.8763731134194,16.0619467157028,609561.318126287,-,Single replicons,3795065,50.136587142597,7,circular,-
GCA_002934965,NZ_CP026416.1,Acinetobacter,Acinetobacter sp.,mobilizable,127843,MOBP,1.86692010370732,6.28902711332361,238672.666818254,-,Single replicons,3795065,38.4103939988893,7,circular,-
GCA_002947415,NZ_CP026706.1,Acinetobacter,Acinetobacter baumannii,conjugative,72105,MOBF,1.19504256793288,2.15753459414404,86168.5443608001,rep_cluster_734,Single replicons,3993843,33.6218015394217,3,circular,PTU-Pse5
GCA_002947415,NZ_CP026708.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,8731,No MOB,19.6137603837859,4.28779353396804,171247.741910835,rep_cluster_1172,Single replicons,3993843,34.3717787195052,3,circular,PTU-Pse7
GCA_002947845,NZ_CP026712.1,Acinetobacter,Acinetobacter baumannii,conjugative,72990,MOBF,1.31612133737866,2.38444763576863,96063.6964152686,rep_cluster_734,Single replicons,4028761,33.634744485546,1,circular,PTU-Pse5
GCA_002950495,NZ_CP026749.2,Acinetobacter,Acinetobacter baumannii,mobilizable,42455,MOBP,4.53780375843993,4.94789961746577,192652.458564567,rep_cluster_1656,Single replicons,3893621,41.8537274761512,2,circular,-
GCA_002950495,NZ_CP026748.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,5602,No MOB,3.24038635211391,0.466214979437961,18152.6443445421,rep_cluster_1172,Single replicons,3893621,33.3095323098893,2,circular,-
GCA_002996805,NZ_CP027529.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,8731,No MOB,2.69128207816764,0.566282707381559,23497.5838244816,rep_cluster_1172,Single replicons,4149444,34.3717787195052,1,circular,PTU-Pse7
GCA_002999115,NZ_CP027247.2,Acinetobacter,Acinetobacter pittii,mobilizable,66765,MOBP,1.79424296922581,3.02917726835259,119792.631840361,rep_cluster_639,Single replicons,3954626,36.8935819665993,3,circular,PTU-?
GCA_002999115,NZ_CP027248.1,Acinetobacter,Acinetobacter pittii,mobilizable,18485,MOBQ,10.6316213950489,4.96950967013009,196525.521487479,"rep_cluster_1254,rep_cluster_1364",Multiple replicons,3954626,33.9464430619421,3,circular,-
GCA_002999115,NZ_CP027249.2,Acinetobacter,Acinetobacter pittii,mobilizable,105591,MOBP,1.36871840361122,3.65456417258452,144524.344955712,rep_cluster_1218,Single replicons,3954626,40.7941964750784,3,circular,-
GCA_002999195,NZ_CP027244.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,8731,No MOB,3.23989394925749,0.70895812020032,28287.5140709672,rep_cluster_1172,Single replicons,3990012,34.3717787195052,3,circular,PTU-Pse7
GCA_002999215,NZ_CP027251.3,Acinetobacter,Acinetobacter pittii,mobilizable,77340,MOBP,2.22105373271461,4.46860245302762,171776.295688148,rep_cluster_639,Single replicons,3844072,37.8975950349108,3,circular,PTU-?
GCA_002999215,NZ_CP027252.3,Acinetobacter,Acinetobacter pittii,mobilizable,9132,MOBQ,5.67975564603302,1.34928608412053,51867.5285595736,rep_cluster_1364,Single replicons,3844072,34.7897503285151,3,circular,-
GCA_002999215,NZ_CP027253.1,Acinetobacter,Acinetobacter pittii,non-mobilizable,24018,No MOB,13.2921456499683,8.30501494823557,319250.754220938,rep_cluster_1218,Single replicons,3844072,36.9722707969023,3,circular,-
GCA_003006035,NZ_CP027532.1,Acinetobacter,Acinetobacter baumannii,conjugative,41087,MOBQ,3.54365917994714,3.60345957697195,145598.324726488,-,Single replicons,4040515,38.3162557499939,2,circular,PTU-Pse8
GCA_003006035,NZ_CP027531.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,146698,No MOB,1.72963050123193,6.27972759090664,253733.335269721,-,Single replicons,4040515,37.8628202156812,2,circular,PTU-Pse9
GCA_003010655,NZ_CP027609.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,8731,No MOB,3.39564445684164,0.751588724426527,29647.3717526844,"rep_cluster_1172,rep_cluster_1903",Multiple replicons,3944627,34.3717787195052,2,circular,PTU-Pse7
GCA_003010655,NZ_CP027608.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,106967,No MOB,1.41536127636255,3.83805489463702,151396.949648673,-,Single replicons,3944627,42.6449278749521,2,circular,-
GCA_003010675,NZ_CP027610.1,Acinetobacter,Acinetobacter baumannii,conjugative,16095,MOBQ,1.66880879919068,0.63440186911213,26859.477622974,rep_cluster_1906,Single replicons,4233827,35.3215284249767,1,circular,-
GCA_003024525,NZ_CP035939.1,Acinetobacter,Acinetobacter cumulans,non-mobilizable,9699,No MOB,15.0221176965259,4.25063853257685,145699.519538605,rep_cluster_2314,Single replicons,3427709,36.9110217548201,9,circular,-
GCA_003024525,NZ_CP035940.1,Acinetobacter,Acinetobacter cumulans,mobilizable,8138,MOBQ,19.0240343239404,4.51664920587562,154817.591328227,rep_cluster_1357,Single replicons,3427709,35.0331776849349,9,circular,-
GCA_003024525,NZ_CP035937.1,Acinetobacter,Acinetobacter cumulans,mobilizable,18761,Multiple MOB,23.7060453230218,12.9751130071197,444749.116305211,rep_cluster_1154,Single replicons,3427709,40.8133894781728,9,circular,-
GCA_003024525,NZ_CP035943.1,Acinetobacter,Acinetobacter cumulans,non-mobilizable,1791,No MOB,53.1651122744485,2.777911312878,95218.7160835373,-,Single replicons,3427709,40.0893355667225,9,circular,-
GCA_003024525,NZ_CP035942.1,Acinetobacter,Acinetobacter cumulans,non-mobilizable,2123,No MOB,64.6517252848181,4.0042959533516,137255.612779669,-,Single replicons,3427709,37.4470089495996,9,circular,-
GCA_003024525,NZ_CP035941.1,Acinetobacter,Acinetobacter cumulans,mobilizable,4692,MOBV,39.7213450315484,5.43723375840905,186372.550888025,-,Single replicons,3427709,35.2728047740835,9,circular,-
GCA_003024525,NZ_CP035938.1,Acinetobacter,Acinetobacter cumulans,non-mobilizable,12247,No MOB,24.8758636892634,8.88799786103223,304654.702602409,-,Single replicons,3427709,33.3306115783457,9,circular,-
GCA_003024525,NZ_CP035935.1,Acinetobacter,Acinetobacter cumulans,conjugative,48560,MOBQ,13.8852004129124,19.6710202660443,674265.332051025,-,Single replicons,3427709,40.755766062603,9,circular,PTU-Pse8
GCA_003024525,NZ_CP035936.1,Acinetobacter,Acinetobacter cumulans,non-mobilizable,177151,No MOB,1.17566440982139,6.07607372341901,208270.125864269,-,Single replicons,3427709,40.0708999666951,9,circular,-
GCA_003029495,NZ_CP027121.1,Acinetobacter,Acinetobacter baumannii,conjugative,72105,MOBF,1.19425627316547,2.15611771375294,86111.8485765963,rep_cluster_734,Single replicons,3993838,33.6218015394217,3,circular,PTU-Pse5
GCA_003029495,NZ_CP027124.1,Acinetobacter,Acinetobacter baumannii,non-mobilizable,8731,No MOB,19.5307147766945,4.26964415470331,170522.67071532,rep_cluster_1172,Single replicons,3993838,34.3717787195052,3,circular,PTU-Pse7
GCA_003051965,NZ_CP028572.2,Acinetobacter,Acinetobacter pittii,non-mobilizable,2295,No MOB,12.6963743834549,0.719043992005355,29138.179210029,rep_cluster_586,Single replicons,4052350,38.8235294117647,5,circular,-
GCA_003051965,NZ_CP028570.1,Acinetobacter,Acinetobacter pittii,mobilizable,10472,MOBQ,2.65237186606311,0.685420513564052,27775.6381814129,rep_cluster_1364,Single replicons,4052350,34.8453017570665,5,circular,-
GCA_003051965,NZ_CP028571.1,Acinetobacter,Acinetobacter pittii,mobilizable,4771,MOBP,8.60559765712863,1.01317276203094,41057.3064221607,-,Single replicons,4052350,37.2249004401593,5,circular,-
GCA_003430865,NZ_CP041229.1,Acinetobacter,Acinetobacter haemolyticus,conjugative,45460,MOBQ,1.32277185858264,1.67026112488339,60133.2086911669,-,Single replicons,3600228,41.0140783106027,5,circular,PTU-Pse8
GCA_003431865,NZ_CP027180.1,Acinetobacter,Acinetobacter baumannii,mobilizable,73018,Multiple MOB,4.14352604252016,7.39095294109963,302551.984572737,rep_cluster_1226,Single replicons,4093545,35.4515324988359,4,circular,PTU-Pse3
