AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length,Plasmid,PredictedMobility,log10_replicon_length,log10_PIRACopyNumber,log10_normalized_replicon_length,Size_Cluster
GCF_005082585.1_ASM508258v1,NZ_CP034857.1,plasmid,10201,3671,2.778806865,1.803523233,1.540765771,10201,0,1.540765771,5656.151144,Buchnera aphidicola (Sitobion avenae),Sav,Pseudomonadota,Gammaproteobacteria,Sitobion avenae,air,Animals,Buchnera,636177,0.005770407,CP034857.1,non-mobilizable,3.564784385,0.187736622,-2.238793579,Cluster_2
GCF_026210615.1_ASM2621061v1,NZ_CP110212.1,plasmid,226188,7553,29.94677612,17.54231538,1.707116505,226188,0,1.707116505,12893.85096,Chlamydia psittaci,BF_amazon_parrot_13,PVC group,Chlamydiota,Amazona aestiva,feces,Animals,Chlamydia,1160701,0.006507274,CP110212.1,non-mobilizable,3.878119485,0.232263161,-2.186600874,Cluster_2
GCF_034356035.1_ASM3435603v1,NZ_CP136424.1,plasmid,87793,7176,12.23425307,0.421463323,29.02803733,87793,0,29.02803733,208305.1959,Blautia hydrogenotrophica DSM 10507,DSM 10507,Terrabacteria group,Bacillota,NA,human feces,Humans,Blautia,3590609,0.001998547,CP136424.1,NA,3.85588243,1.462817673,-2.699285685,Cluster_2
GCF_030644305.1_ASM3064430v1,NZ_CP129210.1,plasmid,115515,94026,1.228543169,0.547616192,2.243438354,115515,0,2.243438354,210941.5347,Salmonella enterica subsp. enterica serovar Typhimurium,HS_180Salm,Pseudomonadota,Gammaproteobacteria,NA,Oyster,Animals,Salmonella,4894501,0.019210539,CP129210.1,NA,4.973247961,0.35091414,-1.716460461,Cluster_1
GCF_030644305.1_ASM3064430v1,NZ_CP129211.1,plasmid,141325,1939,72.88550799,0.547616192,133.0959695,141325,0,133.0959695,258073.0848,Salmonella enterica subsp. enterica serovar Typhimurium,HS_180Salm,Pseudomonadota,Gammaproteobacteria,NA,Oyster,Animals,Salmonella,4894501,0.000396159,CP129211.1,NA,3.287577809,2.124164904,-3.402130612,Cluster_2
GCF_019551855.1_ASM1955185v1,NZ_CP068284.1,plasmid,1341436,67408,19.90024923,1.997230672,9.963921298,1341436,0,9.963921298,671648.0068,Escherichia coli,CY598,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Escherichia,4688863,0.014376193,CP068284.1,conjugative,4.828711442,0.998430289,-1.842356102,Cluster_1
GCF_005885935.1_ASM588593v1,NZ_CP040569.1,plasmid,2477061,94033,26.34246488,28.67369728,0.918697879,2477061,0,0.918697879,86387.91767,Salmonella enterica subsp. enterica serovar Typhimurium,SAP17-8290,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool,Humans,Salmonella,4965236,0.018938274,CP040569.1,conjugative,4.973280292,-0.036827286,-1.722659604,Cluster_1
GCF_025854055.1_ASM2585405v1,NZ_CP107596.1,plasmid,148777,19667,7.564803986,2.191892867,3.451265388,148777,0,3.451265388,67876.03639,Acinetobacter baumannii,1326581-1,Pseudomonadota,Gammaproteobacteria,Homo sapiens,wound,Humans,Acinetobacter,3955973,0.00497147,CP107596.1,conjugative,4.293738118,0.537978356,-2.303515201,Cluster_2
GCF_004124015.1_ASM412401v1,NZ_CP032701.1,plasmid,87673,4968,17.64754428,0.754488188,23.3900869,87673,0,23.3900869,116201.9517,Streptococcus pyogenes,TSPY556,Terrabacteria group,Bacillota,Homo sapiens,Abscess (lymph node),Humans,Streptococcus,1828132,0.002717528,CP032701.1,mobilizable,3.696181587,1.369031835,-2.565825964,Cluster_2
GCF_009857075.1_ASM985707v1,NZ_CP047324.1,plasmid,31537,93832,0.336100691,0.209966971,1.600731244,31537,0,1.600731244,150199.814,Salmonella enterica subsp. enterica serovar Typhimurium,RM13672,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4870266,0.019266299,CP047324.1,conjugative,4.972350973,0.204318422,-1.715201709,Cluster_1
GCF_016889645.1_ASM1688964v1,NZ_CP069519.1,plasmid,450954,128163,3.518597411,2.569894667,1.369160167,450954,0,1.369160167,175475.6745,Salmonella enterica,FDAARGOS_1271,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4675929,0.027409099,CP069519.1,conjugative,5.107762665,0.136454256,-1.562105243,Cluster_1
GCF_028473645.1_ASM2847364v1,NZ_CP097270.1,plasmid,50265,12443,4.03962067,1.780761775,2.268478989,50265,0,2.268478989,28226.68406,Acidovorax sp. GBBC 1281,GBBC 1281,Pseudomonadota,Betaproteobacteria,Cichorium endivia var. crispum,PO_0009002,Plants,Acidovorax,5695567,0.002184682,CP097270.1,non-mobilizable,4.094925101,0.355734761,-2.660611864,Cluster_2
GCF_029229485.1_ASM2922948v1,NZ_CP117864.1,plasmid,68220,101521,0.671979196,0.749055341,0.897102202,68220,0,0.897102202,91074.71267,Novacetimonas hansenii,NQ5,Pseudomonadota,Alphaproteobacteria,NA,Sugarcane exudate,Food,Novacetimonas,3349623,0.030308187,CP117864.1,conjugative,5.006555887,-0.047158077,-1.518440043,Cluster_1
GCF_039639765.1_ASM3963976v1,NZ_CP147788.1,plasmid,262758,181634,1.446634441,0.564794778,2.561345282,262758,0,2.561345282,465227.389,Bacillus anthracis,-,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,5228855,0.034736859,CP147788.1,NA,5.259197147,0.408468128,-1.459209451,Cluster_1
GCF_016756155.1_ASM1675615v1,NZ_AP024261.1,plasmid,17989,24567,0.732242439,0.366163382,1.999769707,17989,0,1.999769707,49128.3424,Mycobacterium intracellulare,M023,Terrabacteria group,Actinomycetota,Homo sapiens,sputum,Humans,Mycobacterium,5737772,0.004281627,AP024261.1,non-mobilizable,4.390352126,0.300979985,-2.368391161,Cluster_1
GCF_022655645.1_ASM2265564v1,NZ_CP093387.1,plasmid,157139,93849,1.674381187,0.872675439,1.918675732,157139,0,1.918675732,180065.7987,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.01932459,CP093387.1,conjugative,4.972429649,0.283001582,-1.71388972,Cluster_1
GCF_022655645.1_ASM2265564v1,NZ_CP093388.1,plasmid,34386,3910,8.794373402,0.872675439,10.07748472,34386,0,10.07748472,39402.96524,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.000805114,CP093388.1,mobilizable,3.592176757,1.003352148,-3.094142612,Cluster_2
GCF_022655645.1_ASM2265564v1,NZ_CP093389.1,plasmid,47187,3176,14.85736776,0.872675439,17.02507839,47187,0,17.02507839,54071.64896,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.000653975,CP093389.1,mobilizable,3.501880494,1.23108912,-3.184438875,Cluster_2
GCF_028622715.1_ASM2862271v1,NZ_CP117763.1,plasmid,43005,66484,0.646847362,0.467555545,1.383466347,43005,0,1.383466347,91978.37662,Acinetobacter baumannii,2022CK-00839,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Acinetobacter,4005723,0.016597253,CP117763.1,conjugative,4.822717141,0.140968599,-1.779963773,Cluster_1
GCF_030020595.1_ASM3002059v1,NZ_CP124907.1,plasmid,334492,79359,4.214922063,2.785442433,1.513196616,334492,0,1.513196616,120085.7702,Enterococcus faecalis,EfsC49,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2765943,0.028691481,CP124907.1,conjugative,4.899596187,0.179895361,-1.542247039,Cluster_1
GCF_008124065.1_ASM812406v1,NZ_CP043215.1,plasmid,158156,165649,0.9547658,0.631746478,1.511311631,158156,0,1.511311631,250347.2603,Salmonella enterica subsp. enterica serovar Heidelberg,SL-312,Pseudomonadota,Gammaproteobacteria,NA,chicken,Livestock,Salmonella,4751368,0.034863433,CP043215.1,conjugative,5.219188818,0.179354025,-1.45762985,Cluster_1
GCF_008124065.1_ASM812406v1,NZ_CP043216.1,plasmid,82851,37697,2.19781415,0.631746478,3.478949588,82851,0,3.478949588,131145.9626,Salmonella enterica subsp. enterica serovar Heidelberg,SL-312,Pseudomonadota,Gammaproteobacteria,NA,chicken,Livestock,Salmonella,4751368,0.007933926,CP043216.1,conjugative,4.57630679,0.541448136,-2.100511879,Cluster_1
GCF_003019655.1_ASM301965v1,NZ_CP028104.1,plasmid,85574,42814,1.99873873,0.72180689,2.769076825,85574,0,2.769076825,118555.2552,Fusobacterium varium ATCC 27725,ATCC 27725,Fusobacteriota,Fusobacteriia,Homo sapiens,feces,Humans,Fusobacterium,3303644,0.012959629,CP028104.1,non-mobilizable,4.631585805,0.442335005,-1.887407437,Cluster_1
GCF_004768605.1_ASM476860v1,NZ_CP038602.1,plasmid,10545,30148,0.349774446,0.274488741,1.274276112,10545,0,1.274276112,38416.87624,Salmonella enterica subsp. enterica serovar Senftenberg,Nov-06,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Salmonella,4804514,0.006274932,CP038602.1,non-mobilizable,4.479258507,0.105263542,-2.202390957,Cluster_1
GCF_004768605.1_ASM476860v1,NZ_CP038603.1,plasmid,17729,6237,2.842552509,0.274488741,10.3558073,17729,0,10.3558073,64589.17011,Salmonella enterica subsp. enterica serovar Senftenberg,Nov-06,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Salmonella,4804514,0.001298154,CP038603.1,mobilizable,3.794975744,1.01518396,-2.886673719,Cluster_2
GCF_003073635.1_ASM307363v1,NZ_CP029079.1,plasmid,471759,24653,19.13596723,5.313963446,3.601072423,471759,0,3.601072423,88777.23845,Staphylococcus aureus,AR466,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2786146,0.008848424,CP029079.1,mobilizable,4.391869776,0.556431856,-2.053134095,Cluster_1
GCF_022655705.1_ASM2265570v1,NZ_CP093393.1,plasmid,72457,58608,1.236298799,0.672638938,1.837982801,72457,0,1.837982801,107720.496,Salmonella enterica,P201982,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4704408,0.012458103,CP093393.1,conjugative,4.767956901,0.264341443,-1.904548079,Cluster_1
GCF_008369765.1_ASM836976v1,NZ_CP043551.1,plasmid,105355,4106,25.65879201,0.734085571,34.95340736,105355,0,34.95340736,143518.6906,Francisella marina,E103-15,Pseudomonadota,Gammaproteobacteria,Lutjanus guttatus (Rose snapper),NA,Animals,Francisella,2041198,0.002011564,CP043551.1,non-mobilizable,3.613418945,1.543489518,-2.696466189,Cluster_2
GCF_013391125.1_ASM1339112v1,NZ_CP058341.1,plasmid,46120,26486,1.741297289,2.103563533,0.827784501,46120,0,0.827784501,21924.70029,Campylobacter coli,20A420,Campylobacterota,Epsilonproteobacteria,NA,environmental,Unannotated,Campylobacter,1654173,0.016011626,CP058341.1,conjugative,4.423016375,-0.082082709,-1.795564553,Cluster_1
GCF_024917615.1_ASM2491761v1,NZ_CP103612.1,plasmid,246826,159348,1.548974571,1.360964017,1.138145133,246826,0,1.138145133,181361.1506,Enterobacter cloacae,3143,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Enterobacter,4944105,0.032229898,CP103612.1,conjugative,5.202346617,0.056197645,-1.491741069,Cluster_1
GCF_024917615.1_ASM2491761v1,NZ_CP103613.1,plasmid,59062,5410,10.91719039,1.360964017,8.021659834,59062,0,8.021659834,43397.1797,Enterobacter cloacae,3143,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Enterobacter,4944105,0.001094232,CP103613.1,mobilizable,3.733197265,0.904264241,-2.96089042,Cluster_2
GCF_030295765.1_ASM3029576v1,NZ_AP027293.1,plasmid,49110,172193,0.285203231,0.291539037,0.978267729,49110,0,0.978267729,168450.855,Neptuniibacter halophilus,LMG 25378,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Neptuniibacter,3941407,0.043688206,AP027293.1,non-mobilizable,5.236015493,-0.009542273,-1.359635791,Cluster_1
GCF_025984565.1_ASM2598456v1,NZ_CP087815.1,plasmid,130441,46162,2.825722456,1.30055707,2.172701623,130441,0,2.172701623,100296.2523,Moraxella bovis,SAM109238,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2812574,0.016412724,CP087815.1,mobilizable,4.664284617,0.337000089,-1.784819341,Cluster_1
GCF_025984565.1_ASM2598456v1,NZ_CP087816.1,plasmid,209432,32546,6.434953604,1.30055707,4.947844084,209432,0,4.947844084,161032.5336,Moraxella bovis,SAM109238,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2812574,0.011571607,CP087816.1,non-mobilizable,4.51249762,0.694416006,-1.936606338,Cluster_1
GCF_946415285.1_SJC1050,NZ_OX291797.1,plasmid,67127,12879,5.212128271,0.403049522,12.93173168,67127,0,12.93173168,166547.7723,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.002370464,OX291797.1,NA,4.109882143,1.111656685,-2.625166674,Cluster_2
GCF_946415285.1_SJC1050,NZ_OX291798.1,plasmid,18431,3696,4.986742424,0.403049522,12.37253031,18431,0,12.37253031,45728.87201,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.000680273,OX291798.1,NA,3.567731963,1.092458526,-3.167316855,Cluster_2
GCF_946415285.1_SJC1050,NZ_OX291799.1,plasmid,16495,3223,5.117902575,0.403049522,12.69794975,16495,0,12.69794975,40925.49204,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.000593214,OX291799.1,NA,3.508260306,1.103733604,-3.226788512,Cluster_2
GCF_021459905.1_ASM2145990v1,NZ_CP090512.1,plasmid,105848,26361,4.01532567,3.905742379,1.028056969,105848,0,1.028056969,27100.60975,Xylella fastidiosa subsp. multiplex,Oak 35874,Pseudomonadota,Gammaproteobacteria,Quercus,NA,Plants,Xylella,2621666,0.010055057,CP090512.1,conjugative,4.420961881,0.012017181,-1.997615481,Cluster_1
GCF_036259715.1_ASM3625971v1,NZ_CP142772.1,plasmid,258580,64091,4.034575837,2.237984689,1.802771867,258580,0,1.802771867,115541.4517,Lactiplantibacillus plantarum,VHProbi M25,Terrabacteria group,Bacillota,NA,Camel,Animals,Lactiplantibacillus,3268975,0.01960584,CP142772.1,NA,4.806797048,0.255940772,-1.707614551,Cluster_1
GCF_963978475.1_SGC-23-002,NZ_OZ021674.1,plasmid,68650,4197,16.35692161,0.853262212,19.16986524,68650,0,19.16986524,80455.92442,Neisseria gonorrhoeae,-,Pseudomonadota,Betaproteobacteria,Homo sapiens,NA,Humans,Neisseria,2231477,0.001880817,OZ021674.1,NA,3.622938969,1.28261906,-2.725653446,Cluster_2
GCF_963978475.1_SGC-23-002,NZ_OZ021675.1,plasmid,87408,41999,2.081192409,0.853262212,2.439100644,87408,0,2.439100644,102439.7879,Neisseria gonorrhoeae,-,Pseudomonadota,Betaproteobacteria,Homo sapiens,NA,Humans,Neisseria,2231477,0.018821166,OZ021675.1,NA,4.62323895,0.387229721,-1.725353465,Cluster_1
GCF_012980785.1_ASM1298078v1,NZ_CP050259.1,plasmid,196043,28259,6.937365087,2.569378777,2.700016498,196043,0,2.700016498,76299.76623,Erwinia amylovora,FB-86,Pseudomonadota,Gammaproteobacteria,Apple tree,NA,Plants,Erwinia,3804074,0.007428615,CP050259.1,non-mobilizable,4.451156789,0.431366418,-2.129092167,Cluster_1
GCF_001874625.1_ASM187462v1,NZ_CP017672.1,plasmid,49591,108417,0.457409816,0.203627897,2.246302312,49591,0,2.246302312,243537.3578,Providencia rettgeri,RB151,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Providencia,4780676,0.022678174,CP017672.1,non-mobilizable,5.035097386,0.351468204,-1.644391926,Cluster_1
GCF_003606345.3_ASM360634v3,NZ_CP042965.1,plasmid,391598,29057,13.47689025,5.653269613,2.383910758,391598,0,2.383910758,69269.2949,Bartonella krasnovii,OE 1-1,Pseudomonadota,Alphaproteobacteria,NA,Flea,Animals,Bartonella,2157564,0.013467503,CP042965.1,mobilizable,4.463250773,0.377289994,-1.870712914,Cluster_1
GCF_026725495.1_ASM2672549v1,NZ_CP110088.1,plasmid,42366,4263,9.93807178,1.600601761,6.20895967,42366,0,6.20895967,26468.79507,Moraxella bovis,SAM109242,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2616654,0.00162918,CP110088.1,non-mobilizable,3.629715333,0.793018839,-2.788030967,Cluster_2
GCF_000430085.2_ASM43008v2,NC_021813.2,plasmid,18995,110363,0.172113843,0.208719669,0.824617264,18995,0,0.824617264,91007.23512,Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,CFSAN002069,Pseudomonadota,Gammaproteobacteria,chicken,NA,Livestock,Salmonella,4783943,0.023069464,21813.2,conjugative,5.042823497,-0.083747577,-1.636962499,Cluster_1
GCF_000430085.2_ASM43008v2,NC_021842.2,plasmid,117861,37679,3.128028876,0.208719669,14.986747,117861,0,14.986747,564685.6403,Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,CFSAN002069,Pseudomonadota,Gammaproteobacteria,chicken,NA,Livestock,Salmonella,4783943,0.007876139,21842.2,conjugative,4.576099368,1.175707376,-2.103686628,Cluster_1
GCF_016454465.1_ASM1645446v1,NZ_CP051390.1,plasmid,61348,11037,5.558394491,0.223354414,24.88598449,61348,0,24.88598449,274666.6109,Salmonella enterica subsp. enterica serovar Muenchen,CVM 22536,Pseudomonadota,Gammaproteobacteria,NA,swine,Livestock,Salmonella,4744876,0.002326088,CP051390.1,mobilizable,4.042851043,1.395954826,-2.633373825,Cluster_2
GCF_009730355.1_ASM973035v1,NZ_CP046347.1,plasmid,794381,116365,6.826631719,3.045771377,2.241347387,794381,0,2.241347387,260814.3887,Citrobacter portucalensis,FDAARGOS_738,Pseudomonadota,Gammaproteobacteria,Homo sapiens,inflamed biopsy tissue from sigmoid colon,Humans,Citrobacter,4998495,0.023280007,CP046347.1,conjugative,5.065822374,0.350509173,-1.633016888,Cluster_1
GCF_009730355.1_ASM973035v1,NZ_CP046349.1,plasmid,247540,42255,5.858241628,3.045771377,1.923401629,247540,0,1.923401629,81273.33583,Citrobacter portucalensis,FDAARGOS_738,Pseudomonadota,Gammaproteobacteria,Homo sapiens,inflamed biopsy tissue from sigmoid colon,Humans,Citrobacter,4998495,0.008453545,CP046349.1,mobilizable,4.625878106,0.28406998,-2.072961156,Cluster_1
GCF_009730355.1_ASM973035v1,NZ_CP046350.1,plasmid,71315,5537,12.87971826,3.045771377,4.228721287,71315,0,4.228721287,23414.42977,Citrobacter portucalensis,FDAARGOS_738,Pseudomonadota,Gammaproteobacteria,Homo sapiens,inflamed biopsy tissue from sigmoid colon,Humans,Citrobacter,4998495,0.001107733,CP046350.1,mobilizable,3.743274524,0.626209062,-2.955564739,Cluster_2
GCF_038423385.1_ASM3842338v1,NZ_CP131637.1,plasmid,52494,4153,12.64001926,0.362893396,34.83121876,52494,0,34.83121876,144654.0515,Neisseria gonorrhoeae,-,Pseudomonadota,Betaproteobacteria,Homo sapiens,Abs/pus/wd,Humans,Neisseria,2221680,0.001869306,CP131637.1,NA,3.618361931,1.541968671,-2.728319574,Cluster_2
GCF_000209795.2_ASM20979v2,NC_017194.1,plasmid,97408,5838,16.68516615,3.61640652,4.613741862,97408,0,4.613741862,26935.02499,Bacillus subtilis subsp. natto BEST195,BEST195,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,4105380,0.001422036,17194.1,mobilizable,3.766264091,0.664053292,-2.847089272,Cluster_2
GCF_017751165.1_ASM1775116v1,NZ_CP046927.1,plasmid,233568,32552,7.175227329,4.056765914,1.768706275,233568,0,1.768706275,57574.92667,Brachyspira hyodysenteriae,BHZ755,Spirochaetota,Spirochaetia,Sus scrofa domesticus,feces,Livestock,Brachyspira,3003105,0.010839448,CP046927.1,non-mobilizable,4.512577677,0.247655717,-1.96499284,Cluster_1
GCF_009911965.1_ASM991196v1,NZ_CP047821.1,plasmid,20167,27406,0.73586076,0.229467201,3.206823275,20167,0,3.206823275,87886.19869,Staphylococcus aureus,UP_1395,Terrabacteria group,Bacillota,Homo sapiens,NA,Humans,Staphylococcus,2763968,0.009915455,CP047821.1,mobilizable,4.437845653,0.506075027,-2.003687357,Cluster_1
